age,workclass,educational-num,occupation,hours-per-week,capital-gain,capital-loss,income
25,Private,7,Machine-op-inspct,40,0,0,<=50K
38,Private,9,Farming-fishing,50,0,0,<=50K
28,Local-gov,12,Protective-serv,40,0,0,>50K
44,Private,10,Machine-op-inspct,40,7688,0,>50K
34,Private,6,Other-service,30,0,0,<=50K
63,Self-emp-not-inc,15,Prof-specialty,32,3103,0,>50K
24,Private,10,Other-service,40,0,0,<=50K
55,Private,4,Craft-repair,10,0,0,<=50K
65,Private,9,Machine-op-inspct,40,6418,0,>50K
36,Federal-gov,13,Adm-clerical,40,0,0,<=50K
26,Private,9,Adm-clerical,39,0,0,<=50K
48,Private,9,Machine-op-inspct,48,3103,0,>50K
43,Private,14,Exec-managerial,50,0,0,>50K
20,State-gov,10,Other-service,25,0,0,<=50K
43,Private,9,Adm-clerical,30,0,0,<=50K
37,Private,9,Machine-op-inspct,20,0,0,<=50K
34,Private,13,Tech-support,47,0,0,>50K
34,Private,10,Other-service,35,0,0,<=50K
25,Private,13,Prof-specialty,43,0,0,<=50K
25,Private,13,Prof-specialty,40,0,0,<=50K
45,Self-emp-not-inc,9,Craft-repair,90,7298,0,>50K
22,Private,9,Adm-clerical,20,0,0,<=50K
23,Private,9,Machine-op-inspct,54,0,0,<=50K
54,Private,9,Craft-repair,35,0,0,<=50K
32,Self-emp-not-inc,10,Prof-specialty,60,0,0,<=50K
46,State-gov,10,Exec-managerial,38,7688,0,>50K
56,Self-emp-not-inc,7,Other-service,50,0,0,<=50K
24,Self-emp-not-inc,13,Sales,50,0,0,<=50K
23,Local-gov,10,Protective-serv,40,0,0,<=50K
26,Private,9,Exec-managerial,40,0,0,<=50K
36,Local-gov,13,Prof-specialty,40,0,0,>50K
22,Private,3,Priv-house-serv,50,0,0,<=50K
20,Private,9,Craft-repair,40,0,0,<=50K
65,Private,14,Prof-specialty,50,0,0,>50K
44,Self-emp-inc,11,Sales,45,0,0,>50K
36,Private,9,Farming-fishing,40,0,0,<=50K
29,Private,7,Other-service,40,0,0,<=50K
20,State-gov,10,Farming-fishing,32,0,0,<=50K
28,Private,11,Prof-specialty,36,0,0,>50K
39,Private,4,Craft-repair,40,0,0,<=50K
54,Private,10,Transport-moving,50,3908,0,<=50K
52,Private,7,Priv-house-serv,18,0,0,<=50K
56,Self-emp-inc,9,Exec-managerial,50,0,0,<=50K
18,Private,10,Other-service,20,0,0,<=50K
39,Private,9,Handlers-cleaners,40,0,0,<=50K
21,Private,10,Other-service,24,0,1721,<=50K
22,Private,9,Other-service,60,14084,0,>50K
